Quote_ID,Section in Paper (Results),Subsection,Case Study,Event_ID,Timestamp,Quote in French (empty if quote was originally in English),Quote in English (translated when French version exists)
11,5_3_tool_use,5.3.1 How provenance tools were utilised >> ViewCount,CS-eco,45-46,01:50:50,,Yeah but it's also a matter of priorities right? Maybe after you get all you can from these visualisations you might in the end go there [ViewCount] just to check.
12,5_3_tool_use,5.3.1 How provenance tools were utilised >> ViewCount,CS-ml,70,00:15:41,,"A: Does it seem to be coherent with what you did last time? B: I think so. Uh, now I remember something we probably started from here. Because for example this, I ignored completely"
13,5_3_tool_use,5.3.1 How provenance tools were utilised >> SelectionRange,CS-w,162,1:08:31,…Beaucoup d’azote pour aller vite (pointe vers le max N0 dans le tableau) par contre vu que on a pas voulu utiliser trop d’énergie Eco est à mid (pointe vers le tableau) par contre effectivement ton temps de fermentation est très court (pointe vers min tfm dans le tableau)…,"Since we did not want to use a lot of energy, we have Eco in the mid-range [points to the SelectionRange]"
14,5_3_tool_use,5.3.1 How provenance tools were utilised >> SelectionRange,CS-ml,54,0:04:52,,"So we try to find sub-groups of datasets that are like, small number of features [referring to SelectionRange]"
15,5_3_tool_use,5.3.1 How provenance tools were utilised >> Queries,CS-w,145,00:52:30,"si tu reviens là tu vois on avait la dernière fois...ouai au lieu de prendre 73 (points) en vert et 19 (points) en rouge, là, dans la selection, EXPERT_NAME a pris 3 et 4 (points). parcequ'on savait directement...enfin parcequ'on s'est recerré sur un -0,7 ou un truc très très reduit. Là, (exploration passé) on se disait l'arrome doit etre environ entre ça et ça. {...} l'idee c'est la même. tout à l'heure (exploration du present) on a tracé une ligne sur laquelle on a alligné 3 points. là [exploration du passé] on a tracé une zone sur laquelle on a alligné des points.","Yes, here instead of selecting 73 points for the green selection [...] as we did in the past exploration we just selected 3 or 4 points, it's the same idea in today's exploration we drew a line on which we aligned points [...]"
16,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Interest zones,CS-ml,58,0:08:52,,"So basically, if I remember, I started here [pointing at a diagonal plot]"
17,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Interest zones,CS-eco,16,0:56:20,,"It's very meaningful, there is a lot of interesting use out of it [sustainability indicator]. For example this I remember [pointing to a plot] it's a very nice distribution of the points"
18,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Interest zones,CS-eco,30,01:24:16,,"Well, it's like most of the organic stuff is in the top half of the Y axis. Yeah, there are very few points that are bellow, 60%."
19,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Interest zones,CS-ml,59,00:09:35,,"[last time] we discussed the fact that most of the points were bellow the bisector, and this one was marked in my mind because it is the most interesting plot we visited"
20,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Interest zones,CS-w,128,00:30,"là on était parti de… là on avait sélectionné, il me semble, on voulait avoir le maximum d’arômes possibles.","We started from, ... it seems to me, we wanted to have as much aroma as possible"
21,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Focus & priority,CS-eco,45,1:50:50,,"These I ignored completely [pointing at thumbnail views with red borders]. ... It is also a question of priority, ... in the end after an hour or so, we go there just to check if there is something, so I just think it is a matter of priority"
22,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Focus & priority,CS-w,168,1:12:59,l'historique [point at ViewCount] ça te permet quand même de retracer quels sont les principaux critères que tu as regardé,the history [points at viewCount] allows you actually to trace back what were the main criteria that you have looked at
23,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Focus & priority,CS-ml,63,00:09:53,,this one was marked in my mind because it is the most interesting plot we visited
24,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Focus & priority,CS-w,170,01:14:16,là effectivement quand on retombe sur ce fameux graphique …  on voit bien que effectivement EXPERT_NAME a fait la même démarche avec des zones un peu plus restraints. ,indeed when we come back to this famous plot [in favorites] … we can clearly see that EXPERT_NAME actually did the same thing with a little more restricted zones
25,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Focus & priority,CS-eco,19,00:59:34,,"This is very difficult... It means that they are categorical values ... For example, if I click on it there are a lot of points overlap. So for example here, there are many points overlapped and it's very difficult... This is something diffucult to explore with a scatter plot"
26,5_4_opportunities,5.4.1 Recall Opportunities >> Recall:  Exploration structure & steps,CS-eco,8,0:40:50,,"There is zero probability that we are going to remember what we did last time, unless there are some notes"
27,5_4_opportunities,5.4.1 Recall Opportunities >> Recall:  Exploration structure & steps,CS-ml,76,0:20:10,,We did something similar to the first part of the exploration but we created groups using a different feature
28,5_4_opportunities,5.4.1 Recall Opportunities >> Recall:  Exploration structure & steps,CS-eco,12,0:51:50,,"I can’t remember exactly where I explored, I’m sure I did a lot of selections, ..., probably the insight about the case study was at the end. May be this is why I remember it"
29,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Data semantics & origin,CS-eco,1,00:04:40,,"Those data come from different origins and each region corresponds to a particular animal production system typology. So we have a, for example, extensive sheep in Spain ??? or a crop livestock system in Germany. And, of course those, typologies are very different"
30,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Data semantics & origin : Dimension,CS-eco,5,00:34:47,,"Okay. So I, I just need to remember the indicators that we have. So we have organic nitrogen inputs, I think, then we have total nitrogen input {...} I actually don't remember the code for the case study. So what is one, what is two? What is three, four, five and six? {...} What is this? "
31,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Data semantics & origin : Value,CS-eco,30,1:24:16,,"Most points are high, there are very few points that are below 60% of forage, is 60% high?"
32,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Coverage,CS-ml,67,00:10:50,,"If I remember correctly, we visited almost all the dimentions, especially in the second part of the exploration, because I remember the box [ViewCount] and this bar plots [DimensionCount] showing the progress. But I don't remember, well during the first part of the exploration, I wasn't able to keep track of what I mentioned I analysed"
33,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Focus & priority,CS-w,177,01:39:44,"si je commence moi à découper mon fichier csv ça va demander de la traceabilté, on me disant qu’es que j’ai regardé, qu’es que j’ai enlevé.","If I start splitting my CSV file it will require some traceability, say what did I look at, what did I remove?"
34,5_4_opportunities,5.4.1 Recall Opportunities >> Recall: Verification and validation,CS-w,109,00:07:27,"Il me semble qu’on avait vérifier quand on augmente l’azote il y avait plus d’esters et un optimum pour l’alcool sup, ou un truc comme ça","It seems to me that we had to check when we increase nitrogen there were more esters and an optimum for higher alcohols, or something like that"
35,5_4_opportunities,5.4.2 Replication Opportunities ,CS-ml,76,00:16:41,,"The first thing I would like to do is to repeat the analysis. Something similar to the analysis we've done on the first part, last time"
36,5_4_opportunities,5.4.2 Replication Opportunities >> to compare alternatives,CS-w,164,01:10:08,,"How close are the temperature profiles, how different are the pmax values for the different solutions?"
37,5_4_opportunities,5.4.2 Replication Opportunities >> to compare alternatives,CS-w,164-extended,01:10:08,"C’est pas tant éclaté que ça en terme d’arômes, mais pour les alcohols sup tu te balade, il y a quand même des grosses écarts.","It’s not that dispersed in terms of aromas, but for higher alcohols they are all over the place, there are big differences"
38,5_4_opportunities,5.4.3 Meta-Analysis Opportunities,CS-w,124,00:23:39,C’est vrai qu’on avait une démarche pour la sélection des points en 2 ou 3 étapes successives pour sélectionner les zones et recentrer sur quelques recettes,"It is true that we had an approach where we previously had 3 or 4 consecutive steps to select them, and focused on a few recipes"
39,5_4_opportunities,5.4.3 Meta-Analysis Opportunities,CS-eco,15,00:55:21,,"I kind of feel that sometimes I explore data, but I don't really..., it's very easy to forget what they do because sometimes I just follow my intuition, I just explore, and immediately after, I don't remember why I was doing that in this exercise on the exploration. Because, for example, I remember very clearly about the case study because in my mind I register that a case study is important. And in fact, I did the some further analysis in that, but, the previous exploration, I'm sure I have the criteria on the moment that I was exploring, but I it's very easy to forget that. I see, because now, now I really, I really don't remember what I was exploring. So I think it's very nice to have something that helps me."
40,5_4_opportunities,5.4.3 Meta-Analysis Opportunities,CS-eco,40,01:41:20,,"Probably there is a reason if I explored more those squares, so given that I don't remember at all what we did last time. This was a very good suggestion for continuing the exploration."
41,5_4_opportunities,5.4.4 Presentation & Collaboration Opportunities,CS-ml,108,01:32:50,,"A: It could be useful to take notes in this … maybe also directly on the figure, the view you're seeing on the screen. Because then if you take notes on paper, then you have to match, months later, what you have written to what you have seen, so it could be painful. But if you can take notes directly on the plot and save the screen, the plot as a favourite with the notes… then it's much easier. Certainly in some cases, applications that could be critical. B: I actually was thinking the same thing but it looks interesting on paper, I'm not sure that people would actually use it. Well, because of course, intuitively you say, Oh, of course I save a favourite with a note telling me what was relevant in the view. But for example, we also have the opportunity of changing the names of the selections.  A: And we did that. B: I think it's super useful, but personally, okay. I am a little bit methodical when I use, for example, Photoshop. I name every layer. I give a name to every layer because I need to remember which layer is, which, but I think sometimes, like in most cases, people don't do it. So, on the surface, I will say it looks really appealing to say, okay, I saved this view and then I write a few notes. But, yeah, I don't know if it's…(useful). If it requires a lot of effort, I am not sure it's worth it"
42,5_4_opportunities,5.4.4 Presentation & Collaboration Opportunities,CS-w,167,01:12:05,"on a écrit sur la tableau, critère1 c’est ça, critère2 c’est ça etc. Le plan d’attaque on le prépare un minimum. On ne se dit pas, tiens peut être on va essayer un scenario","[Last session] we wrote on the board, we wrote criteria 1 is, criteria 2 is, The main plan is prepared at a minimum. We don't say to each other, let's just try a scenario"
