Global ID,Use Case,Use Case ID,Coder1,Modifier1,Code1,Comment1,Time1,Coder2,Modifier2,Code2,Comment2,Time2,Concordance: Provenance Events identified (1st pass),Concordance: Regan Provenance Goals (1st pass),Used in concordance calculation: provenance + provenance tool use events (we do not consider trade-off tasks events),Resolved Modifier (2nd pass),Resolved Ragan Category (2nd pass),Resolved -new- Provenance Objects (2nd pass) ,"Opportunity, Tool/Unintended Use, Trade-off - FINAL CODE","Analytical_Provenance, Data_Provenance or Trade-off, Tool Use - FINAL CODE",Observed or Reported or Prompted or empty - (if it is Opportunity) - FINAL CODE,Resolved Ragan Category (or - if it is a task) - FINAL CODE,Tool or - if the tools are not used - FINAL CODE,Resoved Provenance Objects - FINAL CODE,Resoved Provenance Objects - further details for the objects FINAL CODE,Experiment Part - FINAL CODE
23,CS-eco,39,AB,Reported,Other : what constitutes an interest criterion,"Distribution shape: ""it is very interesting, i remember this is a very nice distribution of the points"", but this is something i try to guess a-posteriori",1:02:52,,,,,,0.5,0.5,Y,Oportunity,Recall,Interest criterion: Level 2: interesting view,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 2: Interesting view,Reproduce Insight WL
24,CS-eco,40,AB,Opportunity,Other : what constitutes an interest criterion,"Distribution shape: ""it is very interesting, i remember this is a very nice distribution of the points"", but this is something i try to guess a-posteriori",1:02:52,,,,,,,,N-duplicate,Opportunity,Recall,Interest criterion: Level 2: Distribution,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 2: Distribution of data,Reproduce Insight WL
25,CS-eco,41,AB,Reported,Recall,"(Prompted) I remember [the interesting distribution] now that i have the red marks around the views (view counts), especially because it is 4 months. This red square helps me remember me that.",1:03:30,MC,Reported,Recall,(prompted) i remember it thanks to the fact that it has a red mark (boarder),1:03:20,1,1,Y,Reported,Recall,Focus/priority : Level 2 : remind focus,Tool Use,Tool Use,Reported,Recall,View Count,Focus & priority,Level 2 : Remind focus,Reproduce Insight WL
26,CS-eco,46,AB,Opportunity,Recall,"Data Provenance: ""This is Spain, I try to remember ..."" multiiple such occurances of such comments that guided selections",1:13:10,MC,,insight // data prov,"""i think this one is spain""",1:11:46,1,0,Y,Opportunity,Recall,Data Provenance - Semantics of a value,Opportunity,D_Provenance,-,Recall,,Data semantics & origin,Semantics of a value,Open Explore
27,CS-eco,53,AB,Trade-off?,Other Task,"Clusters in a view (that match selections, again wrt to a key dimension)",1:15:20,,,other,"""nice to see how they are clustered""",1:16:00,,,N,Trade-off,,Clusters,Trade-off,Trade-off,,-,,"Find clusters, correlations & outliers",,Open Explore
28,CS-eco,54,AB,Trade-off?,Correlation,"""for German crop cattle the more nitrogen you get out of the animal the least... Portugal grass high nitrogen low """,1:15:23,,,other,"""France here and germany crops is a very clear decreasing trend it's a very clear high corolation",1:16:10,,,N,Trade-off,,Correlation,Trade-off,Trade-off,,-,,"Find clusters, correlations & outliers",,Open Explore
29,CS-eco,56,AB,Opportunity,Other: Remind Min/Max,"Related to Min-max but more subtle; encode what the ranges themselves mean. 'let me think what this means"" (about value range of NitForshare, ""the lowest the more cerial ...""",1:19:05,MC,Opportunity,recall,"""i am trying to understand what this is …""",1:19:16,1,1,Y,Opportunity,Recall,Data semantics - Semantics of values,Opportunity,A_Provenance,-,Recall,,Data semantics & origin,Semantics of value,Open Explore
30,CS-eco,65,AB,Trade-off,Task: Subset exploration: boundary/threshold,"Most points are high, there are very few points that are below 60% of forage ... [...] again between 60-100% there is a lot of variation",1:24:16,,,,,,,,N,Trade-off,,Task: Subset exploration: boundary/threshold,Trade-off,Trade-off,,-,,Locate & characterize,"Level 1: Threshold, Range, Boundary",Open Explore
31,CS-eco,67,AB,Trade-off,Task: Other: Focus/priority (likely under Subset exploration),"""I would like to see organic share wrt to any indicator of production"".",1:26:09,,,Subset Exploration,"""I would be interested in looking at the organic share vs any indicator of production""",1:26:07,,,N,Trade-off,,Correlation,Trade-off,Trade-off,,-,,"Find clusters, correlations & outliers",,Open Explore
32,CS-eco,71,,,,,,MC,opportunity (trade off),awareness,they do not know the distribution of their data,1:29:40,0.5,0.5,Y,Opportunity,Recall,Interest criterion: Level 2: Distribution of data,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 2: Distribution of data,Open Explore
33,CS-eco,72,AB,Trade-off,Task: Other: Combined dim relationship,"(Prompted on combined dimensions) ""I am interested to see this [OrgShare] as a continium, if I put this continum in relation to ..., nitrogen forage in the diet.. these are the most autonomous '. After some explanation and discussion, in 01:32:49 they explained that one dimension Totnit/OrgShare is already one such combined dimension in the data.",1:30:37,,,,,,,,N,Trade-off,,Combine dimensions,Trade-off,Trade-off,Prompted,-,,Combine interest zones & dimensions,Combine dimensions,Open Explore
34,CS-eco,73,AB,Reported,Other: Combined dim relationship,"""but for example this is NitOut it would be nice to combine with NiInput, but maybe later""",1:33:03,MC,Trade-off,combined dim,"""it would be nice to combine nitrogenInput with … "" (prompted)",1:33:00,,,N,"Reported, Trade-off",Recall,Interest criterion: Level 2: Combined dim relationship,Trade-off,Trade-off,Reported,-,,Combine interest zones & dimensions,Level 2: Combined dim relationship,Open Explore
35,CS-eco,74,AB,Opportunity,Keep track of questions,,1:33:03,,,,,,0.5,0.5,Y,Opportunity,Recall,Interest criterion: Level 1: Keep track of questions/hypothesis/todo,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 1: Keep track of questions/hypothesis/todo,Open Explore
36,CS-eco,76,AB,Opportunity,Other: Unexplored ranges (related to thresholds),(see above),1:34:33,,,,,,0.5,0.5,Y,"Opportunity, Trade-off",recall,Interest criterion: Level 2: Interesting pattern OR Unexplored ranges (related to thresholds or interesting patterns),Opportunity,A_Provenance,Reported,Recall,,Interest  zones,Level 2: Interesting pattern OR Unexplored ranges (related to thresholds or interesting patterns),Open Explore
37,CS-eco,79,AB,,Correlation,"""If you exclude the outliers you see more or less a linear relatiionship"" (SubRev with OrgShare) ...",1:37:16,,,,,,,,N,Trade-off,,"Correlation, Outlier",Trade-off,Trade-off,,-,,"Find clusters, correlations & outliers",,Open Explore
38,CS-eco,81,,,,,,,,Discussion,"""not sure if it is a causal relationship"" tracking of questions",1:37:50,0.5,0.5,Y,Opportunity,Recall,Interest criterion: Level 1: Keep track of questions/hypothesis/todo,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 1: Keep track of questions/hypothesis/todo,Open Explore
39,CS-eco,87,,,,,,,,Subset Exploration / focus ??,"""here we need to find …"" ... but they were interrupted",1:40:30,0.5,0.5,Y,Opportunity,Recall,Interest criterion: Level 1: Keep track of questions/hypothesis/todo,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 1: Keep track of questions/hypothesis/todo,Open Explore
40,CS-eco,89,AB,Reported,Other: Recall but also Inspiration!,"(Prompted about why they wanted to keep the provenance) because there is a reason I explored last time. Giiven that I don't remember why, these were a good starting point, looking for interesting things.",1:41:20,MC,reported,recall,old prov = good starting point,1:42:30,1,1,Y,Reported,Recall,Inspiration,Opportunity,A_Provenance,Reported,Meta-Analysis,,Exploration  approach,,Discussion
41,CS-eco,90,AB,Reported,Presentation,(Prompted about presentation about what you have explored) save one favorite view that summerizes exploration and insight (specific to this exploration session). Currently saves and puts on a slide. The meaning of color selections are clear (naming and colors of selections).,1:43:00,MC,reported,Presentation,"""this is the best view i have""; ""i would add it to my favorites, i usually make a screenshot""",,1,1,Y,Reported,Presentation,favorites,Tool Use,Tool Use,Reported,Presentation,Favorites,Interest  zones,Level 2 : Interesting view,Discussion
42,CS-eco,91,,,,,,MC,,Bugs and Features // recall??,writing the labels = good we dont need to remember what color is what ; zoom = good,1:46:19,0.5,0.5,Y,Reported,Recall (use names of queries to remember),,Tool UnintendedUSE,Tool Use,Reported,Recall,Query-Color Queries,Data semantics & origin,Semantics of selection,Discussion
43,CS-eco,92,AB,,,"Other: Keep track of naming of selections, more generally changing scemantics",,,,,,,0.5,0.5,Y,Opportunity,Recall,Interest criterion: Level 1: Keep track of name,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 1: Keep track of name,Discussion
44,CS-eco,95,AB,,Other: Track coverage (or Navigation),"(Prompted if they used the red rectangles) For sure they influenced me because I tended to come back to the same ones, for sure it influenced my analysis. For example I ignored this [diimensions] compteltly.",1:49:56,MC,,recall,"""the colored boarders for sure influenced me """,1:50:30,1,0,Y,Observed : Prompted,recall,Coverage : Level 1 : Dimension Coverage,Tool Use,Tool Use,Prompted,Recall,View Count,Coverage,Level 2: keep track of data dimension coverage (two or more),Discussion
45,CS-eco,97,AB,,Other: Priority,"""But it is also a matter of priority, after we are done with others we can come back to see the ones we had not covered, a question of priority""",1:50:50,,,,,,0.5,0.5,Y,Reported,recall,Focus/priority : Level 2 : prioritising (exploration strategy),Tool Use,Tool Use,Reported,Recall,View Count,Focus & priority,Level 2 : Prioritising,Discussion
46,CS-eco,98,AB,,Other: Track coverage,(see above),1:50:50,,,,,,0.5,0.5,Y,Reported,recall,Coverage : level 1 : Dimension Coverage,Tool Use,Tool Use,Reported,Recall,View Count,Coverage,Level 1: keep track  of a specific  data dimension (one),Discussion
47,CS-ml,2,NB,Reported,Subset Exploration,"Task - Exploring groups in data: e.g., groups of datasets according to different criteria (e.g., number of features etc) then looking at what it correponds to, say in terms of accuracy of models, or whether samples from those datasets would fall inside/outside convex hull.",0:04:52,,,,,,,,N,Trade-off,,Subset Exploration,Trade-off,Trade-off,,-,,"Find clusters, correlations & outliers",,Reproduce Insight WoL
48,CS-ml,3,NB,Opportunity,Recall,"Give information about dataset and goal of exploration What the dataset that was previously explored was about (data points correspond to datasets), what rows and columns mean etc. May be even something about the high level task people did in previous session (their goal).",0:05:50,AB,Oportunity,Recall,"Trade-off related: mention specific dimensions seperately, specific ranges of some dimensions, selections",0:05:30,1,1,Y,Oportunity,Recall,Validation/verification,Opportunity,A_Provenance,-,Recall,,Verification & validation,,Reproduce Insight WoL
49,CS-ml,4,,,,,,AB,Trade-off,Recall,"Trade-off related: mention specific dimensions seperately, specific ranges of some dimensions, selections",0:05:30,,,N,Trade-off,,Focus/priority & Interest criterion: Level 1: Ranges,Trade-off,Trade-off,,-,,Locate & characterize,Level 1: Range,Reproduce Insight WoL
50,CS-ml,6,NB,Reported,Excecution Tasks,Looking at the diagonal of some plots to create the groups,0:06:19,AB,Trade-off,Replication,"Trade-off related: diagonals, separating trade-off ranges of some dimensions (min/max), re-creating selections",0:06:27,,,N,Trade-off,,Interest criterion: Level 2: Bisector,Trade-off,Trade-off,,-,,Locate & characterize,Level 2: Bisector,Reproduce Insight WoL
51,CS-ml,7,,,,,,AB,Trade-off,Subset exploration (Execusion),-//- Min/Max (Excecusion),0:06:27,,,N,Trade-off,,Min/Max,Trade-off,Trade-off,,-,Min/Max,Minimize & maximize,,Reproduce Insight WoL
52,CS-ml,8,,,,,,AB,Oportunity,Recall,Trade-off related: remembering most interesting plots visited,0:07:16,0.5,0.5,Y,Oportunity,Recall,Focus/priority: Leve 2 - Most interesting plots visited,Opportunity,A_Provenance,-,Recall,,Focus & priority,Level 2 : Most interesting plots visited,Reproduce Insight WoL
53,CS-ml,11,NB,Opportunity,Recall=>Replication,"show where exploration started, major selections, importance of first groupings? ""if I remember we started here?"" looks like not sure where they started the exploration: where they made the first groups, which seems important for subsequent selections/exploration.",0:07:37,AB,Oportunity,Replication,Doupt on whether they can reporduce an insight (prompted to do so),0:07:33,1,0,Y,Oportunity,Replication,Insight: Temporal exploration structure: Level 2: steps,Opportunity,A_Provenance,-,Replication,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WoL
54,CS-ml,12,,,,,,AB,Oportunity,Other - min/max (Replication),Trade-off related: mention strategy of focusing on small number of features vs large number of features (min/max),0:07:41,0.5,0.5,Y,Reported,Replication,Min/Max,Tool Use,Tool Use,Reported,Replication,SelectionRange (Min/Max),Focus & priority,Level 2: strategy for Min/Max two or more dimensions,Reproduce Insight WoL
55,CS-ml,13,,,,,,AB,Trade-off,Task,-//- Min/Max (Excecusion),0:07:41,,,N,Trade-off,,Min/Max,Trade-off,Trade-off,,-,Min/Max,Minimize & maximize,,Reproduce Insight WoL
56,CS-ml,14,,,,,,AB,Oportunity,Action,Reproducing selections,0:08:00,0.5,0.5,Y,Oportunity,Replication,Interest criterion: Level 2: Selection,Opportunity,A_Provenance,-,Replication,,Interest  zones,Level 2: Selection,Reproduce Insight WoL
57,CS-ml,16,NB,Opportunity,,"Unsure why they want to recreate selections with same colors as last times, users associate things to colors so they are easier to remember?",0:08:39,,,,,,0.5,0.5,Y,Oportunity,Recall,Interest criterion: Level 2: Selection,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 2: Selection,Reproduce Insight WoL
58,CS-ml,17,NB,Opportunity,Replication => Recall,"Summarise the different steps taken in previous exploration, purpose to help reproduce major finding (like the one in this plot0 ""If I remember correctly ... could be this one [the plot where they found the insight]"". User did not remeber what plots they visisted next.",0:08:52,AB,Oportunity,Recall,Trade-off related: important plot visited,0:08:58,1,0,Y,Oportunity,Recall,Focus/priority: Leve 2 - Most interesting plots visited,Opportunity,A_Provenance,-,Recall,,Focus & priority,Level 2 : Most interesting plots visited,Reproduce Insight WoL
59,CS-ml,21,NB,Opportunity,Presentation,"opportunity for better communication of insights (insights that can be generated automaticlaly, pherpas based on experts' rules/heuristics on what constitutes an interesting pattern or distribution in the data"" may be important to calibrate insight/pattern, whether selections are above or below the bisector. ""most of the points were below the bisector"" Check_with_experts: Is this a general thing useful for SPLOM exploration, for trade-off analysis, or is this specific to this dataset?",0:09:35,AB,Oportunity,"Other - ranges=> decision boundaries or criteria, cut-off points",Trade-off related: mention datapoins below/above bisector (possible alternative to min/max),0:09:36,1,0,Y,Oportunity,Recall,"Interest criterion: Level 1: Threshold, Range, Boundary",Opportunity,A_Provenance,-,Recall,,Interest  zones,"Level 1: Threshold, Range, Boundary",Reproduce Insight WoL
60,CS-ml,22,,,,,,AB,Trade-off,"Other - ranges=> decision boundaries or criteria, cut-off points",Trade-off related: mention datapoins below/above bisector (possible alternative to min/max),0:09:36,,,N,Trade-off,,"Interest criterion: Level 1: Threshold, Range, Boundary",Trade-off,Trade-off,,-,,Locate & characterize,"Level 1: Threshold, Range, Boundary",Reproduce Insight WoL
61,CS-ml,23,NB,Opportunity,Recall,"show sections/part of an exploration (see our work on scenarios, CHI2019/2020) people remember the structure of the exploration, 1st part, 2nd part etc.",0:10:02,AB,Oportunity,Recall,Trade-off related:Stated that they visited most dimensions (prompted to remember this),0:10:29,1,1,Y,Oportunity,Recall,Coverage: Dimension coverage,Opportunity,A_Provenance,-,Recall,,Coverage ,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WoL
62,CS-ml,24,,,,,,AB,Trade-off,Recall,Trade-off related:Stated that they visited most dimensions (prompted to remember this),0:10:29,,,N,Trade-off,,Coverage: Dimension coverage,Trade-off,Trade-off,,-,,Observe coverage,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WoL
63,CS-ml,25,NB,Opportunity,Recall,"""this was marked in my mind because it was the most intereting plot we analysed"" people likely to remember plots (shape?) of major plots they found intereting but not so accurately/easily the steps they took to get there",0:09:53,,,,,,0.5,0.5,Y,Oportunity,Recall,Focus/priority: Leve 2 - Most interesting plots visited,Opportunity,A_Provenance,-,Recall,,Focus & priority,Level 2 : Most interesting plots visited,Reproduce Insight WoL
64,CS-ml,26,NB,Reported,Dim count,"""if I remember correctly we visited all dimensions because I remmber these boxes [view_count] and bars [dimension_count].",0:10:25,AB,Reported,Dim count,"new caterogy Coverage under Replication or Recall? ""I remember the boxes and these barplots"" - refering to two Provenance vis to explain how he remembered that they covered all the dimensions",0:10:34,1,1,Y,Reported,Recall,Dim Count - why=> Coverage: Dimension coverage,Tool Use,Tool Use,Reported,Recall,Dim Count,Coverage ,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WL
65,CS-ml,27,NB,Reported,View count,"""if I remember correctly we visited all dimensions because i remmber these boxes [view_count] and bars [dimension_count]",0:10:25,AB,Reported,View count,-//-,0:10:34,1,1,Y,Reported,Recall,View Count - why=> Coverage: Dimension coverage,Tool Use,Tool Use,Reported,Recall,View Count,Coverage ,Level 2: keep track of data dimension coverage (two or more),Reproduce Insight WL
66.1,CS-ml,28,NB,Reported,Recall,"""if I remember correctly we visited all dimensions because I remmber these boxes [view_count] and bars [dimension_count].",0:10:25,AB,Reported,Other - remember coverage (Recall),-//-,0:10:34,1,1,Y,Reported,Recall,Coverage: Dimension coverage,Tool Use,Tool Use,Reported,Recall,View Count,Coverage,Level 2: keep track of data dimension coverage (two or more),Reproduce Insight WL
66.2,CS-ml,28,NB,Reported,Recall,"""if I remember correctly we visited all dimensions because I remmber these boxes [view_count] and bars [dimension_count].",0:10:25,AB,Reported,Other - remember coverage (Recall),-//-,0:10:34,1,1,Y,Reported,Recall,Coverage: Dimension coverage,Tool Use,Tool Use,Reported,Recall,Dim Count,Coverage,Level 2: keep track of data dimension coverage (two or more),Reproduce Insight WL
67,CS-ml,29,NB,Reported,Other Provenance Type,"Is it Recall, or a new type of provenance: track progress of exploraiton? ""in the first part of the exploration I was not able to keep track of what dimensions I analysed""",0:10:50,AB,Oportunity,Recall => merge with 14 Other phases,"Trade-off related: did not remember the dimensions visited in the first part of the exploration. Different ""Exploration phases"" may recuire different support or separate '""provenance histories).",0:10:48,1,1,Y,Reported,Recall,Coverage: Dimension coverage,Opportunity-new,A_Provenance,Reported,Recall,,Coverage,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WoL
68,CS-ml,30,,,,,,AB,Trade-off,Recall,"Trade-off related: did not remember the dimensions visited in the first part of the exploration. Different ""Exploration phases"" may recuire different support or separate '""provenance histories).",0:10:48,,,N,Trade-off,,Coverage: Dimension coverage,Trade-off,Trade-off,,-,,Observe coverage,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WoL
69,CS-ml,34,NB,Observed,Action Recovery,"""now I remember, we probably started from here!"" correcting starting point of the exploration. expert seems to confirm that provenance loaded from last session/history seems coherent with what they did last time",0:15:34,AB,Observed,Other - faulty memory,"(could fall under Recall) - after looking at colored splom ""now I remember, we probably started from here"". Did not remember correctly the feature (dimension & diagonal) they used to create the min/max selections. View count helped them identify the error.INTERESTING: could remember the strategy/process (06:27) but not the detailed dimensiion",0:15:41,1,0,Y,Observed,Action Recovery,Temporal exploration : Level 2: steps,Tool Use,Tool Use,Observed,Action Recovery,View Count,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WL
